3581943079823516,Itch,Breen,Platalea leucordia,01/05/2003
4888411098563,Marcello,Mayhead,Macropus agilis,02/26/2001
3574065767586483,Harriott,Romaynes,unavailable,09/17/2002
348944444975049,Fonzie,Snepp,Cercopithecus aethiops,08/22/1996
4936797378160636,Angeline,Bethel,Eumetopias jubatus,06/01/2017
3568469846273709,Pavla,D'Ugo,Chlamydosaurus kingii,11/13/2004
6334967306845870,Jedd,Espinos,Felis concolor,02/07/2003
348593348877056,Talbert,Wasbey,Pseudoleistes virescens,02/05/2006
6763682659540073,Charley,Beste,Corallus hortulanus cooki,06/23/2004
5108757744740593,Therine,Moorey,Corvus albicollis,04/08/2019
677169367772638420,Titos,Golt,Canis lupus lycaon,04/28/2005
3556590987466556,Orion,Miko,Crocuta crocuta,05/13/2014
5641820085840150,Launce,Burless,Butorides striatus,10/18/2017
201444259709720,Viviene,Amps,Myrmecophaga tridactyla,10/28/2002
5100130362051131,Millicent,Nitti,Sus scrofa,02/11/2006
346997506646595,Ellissa,Trood,Paradoxurus hermaphroditus,08/12/1991
5602249981837657956,Kassandra,Dallmann,Pycnonotus barbatus,07/10/2007
3557422968557683,Anstice,Peris,Kobus leche robertsi,04/06/1999
4017952321400447,Emmalyn,Dencs,Zosterops pallidus,02/26/2007
6767194668181714765,Barbabas,Mum,Gymnorhina tibicen,02/13/1999
